timestamp,name,tweet,retweetCnt,hastags,urlsCnt,mentionsCnt
Tue Oct 28 20:57:20 +0000 2014,brs2787,RT @andrewchristian: $250 Share #contest... Watch Andrew Christian's CONTROVERSIAL #NSFW #Halloween video here http://t.co/2OF6mlKUEo,7,"[{u'indices': [32, 40], u'text': u'contest'}, {u'indices': [83, 88], u'text': u'NSFW'}, {u'indices': [89, 99], u'text': u'Halloween'}]",1,1
Tue Oct 28 20:57:32 +0000 2014,kaay_renee00,"RT @OnlyMoneyMoe: We fucked on the bed
We fucked on the floor
We fucked so long i grew a fuckin Afrow",1,[],0,1
Tue Oct 28 20:57:56 +0000 2014,GriffinFrank,Coming up next: @TanyaORourke &amp; @CarolWCPO with brand new info on three priests under investigation. @WCPO http://t.co/zyuWW5h5fT,{},[],0,3
Tue Oct 28 20:58:03 +0000 2014,A_vargas27,RT @footlocker: Never mess with The GOAT. #MJTakeover http://t.co/m774Au9Gk5,199,"[{u'indices': [42, 53], u'text': u'MJTakeover'}]",0,1
Tue Oct 28 20:58:04 +0000 2014,KokomoScanner,Fire Alarm: 3400 Block of Timber Valley Dr.,{},[],0,0
Tue Oct 28 20:58:15 +0000 2014,MadelynSage,@scottsavannah8 @hannahkerwinnn @nicolee_nemeth ?,{},[],0,3
Tue Oct 28 20:58:26 +0000 2014,alisacaitlynn,RT @friendIies: we're all doing shit we said we would never do,1090,[],0,1
Tue Oct 28 20:58:35 +0000 2014,JrBigj123456789,My birthday is today now thats what up,{},[],0,0
Tue Oct 28 20:58:40 +0000 2014,momiamhereapp,https://t.co/Aog4S4oHjv Disponible Ya! Aavailable Now! 5 languages to choose.,{},[],1,0
Tue Oct 28 20:58:55 +0000 2014,MadelynSage,I don't wear yoga pants with crop tops,{},[],0,0
,,{},{},{},0,0
Tue Oct 28 20:59:19 +0000 2014,sarahn721,RT @4_equal_opp: #FeminismIsAwful  is HATE and envy pure &amp; simple http://t.co/6DcZUg1o5e,18,"[{u'indices': [17, 33], u'text': u'FeminismIsAwful'}]",0,1
Tue Oct 28 20:59:34 +0000 2014,SustainableND,"RT @NotreDame: Tonight, @SustainableND hosts Harvest Fest in North &amp; South Dining Halls to highlight local bounty and seasonal foods http:/…",3,[],1,2
Tue Oct 28 20:59:37 +0000 2014,COKEBOY079,@_shanitaaa *clears throat*,{},[],0,1
,,{},{},{},0,0
Tue Oct 28 21:00:02 +0000 2014,AHealthTipPage,"Snack ideas: Pickles, Rice cakes, Peanut butter and apple slices, almonds/cashews or celery &amp; hummus.",{},[],0,0
Tue Oct 28 21:00:05 +0000 2014,631234567,"RT @TheBucktList: RIP Casey Kasem, voice actor of Shaggy in Scooby Doo! Thank you for being part of my favorite childhood show http://t.co/…",3119,[],0,1
Tue Oct 28 21:00:08 +0000 2014,rsg5571,Original #badass https://t.co/K5VqFhradH,{},"[{u'indices': [9, 16], u'text': u'badass'}]",1,0
,,{},{},{},0,0
Tue Oct 28 21:00:19 +0000 2014,_shanitaaa,@COKEBOY079 lol you need some medicine ? that sounds pretty nasty😂,{},[],0,1
Tue Oct 28 21:00:29 +0000 2014,scottsavannah8,@MadelynSage @nicolee_nemeth,{},[],0,2
Tue Oct 28 21:00:34 +0000 2014,BobayConner,Fav if you're going to go check out my new vine in 2 minutes :) 😝😝😝,{},[],0,0
Tue Oct 28 21:00:36 +0000 2014,andy_linds,@Its_Cobra13 Lmao  and what if there was ;)?,{},[],0,1
Tue Oct 28 21:00:38 +0000 2014,Maddreed_,"RT @BestTextMsgs: She's dying to talk to you, but refuses to text you.",563,[],0,1
Tue Oct 28 21:00:44 +0000 2014,Matts_Princess1,RT @BobayConner: Fav if you're going to go check out my new vine in 2 minutes :) 😝😝😝,1,[],0,1
,,{},{},{},0,0
Tue Oct 28 21:00:48 +0000 2014,allybugg_,@BobayConner ❤️,{},[],0,1
Tue Oct 28 21:00:49 +0000 2014,Matts_Princess1,@BobayConner duuuhhhh,{},[],0,1
Tue Oct 28 21:00:49 +0000 2014,reesehess,RT @BobayConner: Fav if you're going to go check out my new vine in 2 minutes :) 😝😝😝,3,[],0,1
Tue Oct 28 21:00:49 +0000 2014,tpurchase16,"RT @CedricShutts7: I GOTTA QUESTION! 
... 
HMMM?
...
...
CAN BLIND PEOPLE SEE THEIR DREAMS? 😂😴",1,[],0,1
Tue Oct 28 21:00:50 +0000 2014,IMarryMarais,RT @BobayConner: Fav if you're going to go check out my new vine in 2 minutes :) 😝😝😝,4,[],0,1
Tue Oct 28 21:00:59 +0000 2014,_estherka1,@BobayConner please follow me 🙏🙏🙏,{},[],0,1
Tue Oct 28 21:01:01 +0000 2014,MadelynSage,@MadelynSage wasn't about her so don't start a Twitter fight 😂,{},[],0,1
Tue Oct 28 21:01:08 +0000 2014,JoeySalads,RT @Maddreed_: cause I love @JoeySalads 😍😘 http://t.co/eLKtQaPzIy,1,[],0,2
Tue Oct 28 21:01:12 +0000 2014,quotes22amazing,"RT @AHealthTipPage: Snack ideas: Pickles, Rice cakes, Peanut butter and apple slices, almonds/cashews or celery &amp; hummus.",1,[],0,1
,,{},{},{},0,0
Tue Oct 28 21:01:15 +0000 2014,HiMyNameIsShine,@BobayConner I'll watch it after school,{},[],0,1
